,fidelity
PD_0001_25,0.9996027853027539
PD_0001_35,0.9995178556661805
PD_0001_45,0.9992969621958931
PD_0001_55,0.9983514853692409
PD_0001_65,0.9983095651733274
PD_0001_75,0.9983893736381215
PD_0001_85,0.9984827966860249
PD_0001_95,0.9982360378640109
PD_0001_105,0.9980095288828139
PD_0001_115,0.9976056627514573
PD_0001_125,0.9974313422700669
PD_0001_135,0.9968337195118226
PD_0001_145,0.9969363802850724
PD_0001_155,0.9968000048253384
PD_0001_165,0.9966321516225536
PD_0001_175,0.9957568230393836
PD_0001_185,0.9957306176731232
PD_0001_195,0.9956868993631198
PD_0001_205,0.9949738215574293
PD_0001_215,0.9957265893180562
PD_0001_300,0.9941963165137976
PD_0001_500,0.98798792690165
PD_0001_700,0.9835397400934994
PD_0001_900,0.9789165864478201
PD_0005_25,0.9980062542372329
PD_0005_35,0.9968626916095862
PD_0005_45,0.9961197534976606
PD_0005_55,0.9938389638668707
PD_0005_65,0.9936356597665227
PD_0005_75,0.9927840302679501
PD_0005_85,0.9912580086945618
PD_0005_95,0.9905496540507108
PD_0005_105,0.9890451242944898
PD_0005_115,0.9878278962920859
PD_0005_125,0.9869228307331472
PD_0005_135,0.9862505243476392
PD_0005_145,0.9839081609127084
PD_0005_155,0.9847945884586842
PD_0005_165,0.9824852189436132
PD_0005_175,0.9806296855102598
PD_0005_185,0.9803423757895939
PD_0005_195,0.9794872202654662
PD_0005_205,0.9776397552446476
PD_0005_215,0.9766968859278993
PD_0005_300,0.9658994622337012
PD_0005_500,0.9446805385647643
PD_0005_700,0.9225326751686969
PD_0005_900,0.899020788159229
PD_001_25,0.9962218731392725
PD_001_35,0.9953301838216909
PD_001_45,0.9914261484351422
PD_001_55,0.9898019313867702
PD_001_65,0.9876794065732051
PD_001_75,0.9859382998833404
PD_001_85,0.9839904305604534
PD_001_95,0.9863784854477636
PD_001_105,0.9798253662423869
PD_001_115,0.9747712052656985
PD_001_125,0.9733760114201832
PD_001_135,0.9722337279213269
PD_001_145,0.9689912877321954
PD_001_155,0.9677721008858069
PD_001_165,0.9658734115740079
PD_001_175,0.96244891934808
PD_001_185,0.9601719749025805
PD_001_195,0.9554673746376686
PD_001_205,0.9553226673928541
PD_001_215,0.9529756750901829
PD_001_300,0.9359134747479633
PD_001_500,0.8903209863951322
PD_001_700,0.84842241436837
PD_001_900,0.813402929561037
PD_003_25,0.9879423730919988
PD_003_35,0.9813157899546155
PD_003_45,0.9765646786510892
PD_003_55,0.9700931295708899
PD_003_65,0.9613967339976358
PD_003_75,0.9552300566698345
PD_003_85,0.9517696376449011
PD_003_95,0.9429286518942068
PD_003_105,0.9358511632727198
PD_003_115,0.9301661450242332
PD_003_125,0.9237922017155256
PD_003_135,0.9140957084523867
PD_003_145,0.9114328567760497
PD_003_155,0.9042432931766169
PD_003_165,0.8992617923259053
PD_003_175,0.8949718715123666
PD_003_185,0.8902670934570571
PD_003_195,0.8778665771963468
PD_003_205,0.8726155200457937
PD_003_215,0.8683577619184404
PD_003_300,0.8176221887507846
PD_003_500,0.7069733531413938
PD_003_700,0.6108948453898492
PD_003_900,0.5379497425960529
