,MSE1,MSE2
AD_0_25,3.3008862040867115e-05,0.00017615145083407674
AD_0_35,7.63942991883762e-05,0.00023357997813379828
AD_0_45,8.981652189504257e-05,0.0002945240300862597
AD_0_55,0.00011050063539286892,0.00034031979256428813
AD_0_65,0.00010355390430904409,0.00031070822395660313
AD_0_75,9.734770479823136e-05,0.00027900309024637407
AD_0_85,6.756343363498727e-05,0.0002011752504673199
AD_0_95,3.965586720361513e-05,0.00011130991507262256
AD_0_105,2.29430811413405e-05,7.533004649732594e-05
AD_0_115,1.6454935287438123e-05,3.0512312916313434e-05
AD_0_125,8.12910827924333e-06,3.12235293488533e-05
AD_0_135,8.053470996782946e-06,1.7882010071338148e-05
AD_0_145,3.903331483648016e-06,7.328255346776432e-06
AD_0_155,1.9187127155702865e-06,3.758581966308642e-06
AD_0_165,1.553918081219008e-06,3.7128268611245835e-06
AD_0_175,1.3081840609531888e-06,3.5049656454638625e-06
AD_0_185,1.4021221473278293e-06,4.033112087312329e-06
AD_0_195,1.5020960029468798e-06,4.440693137504023e-06
AD_0_205,1.4999574907782206e-06,4.553768628534436e-06
AD_0_215,1.4863545421475035e-06,4.409534271308556e-06
AD_0_300,1.6646923066838895e-06,4.869472585017712e-06
AD_0_500,1.766674397424863e-06,5.237228376501853e-06
AD_0_700,1.8069662225320128e-06,5.273607996514908e-06
AD_0_900,1.7436669401322295e-06,5.199969900627225e-06
AD_0001_25,3.233199258713919e-05,0.00019594283650913467
AD_0001_35,5.080665528561643e-05,0.00016487659738519974
AD_0001_45,7.028628211920155e-05,0.0002236399753476348
AD_0001_55,5.8815244466544744e-05,0.0002076046342687828
AD_0001_65,6.0001646700137265e-05,0.0004888716698839837
AD_0001_75,4.5621037818949506e-05,0.0008495393526200743
AD_0001_85,3.0316821358600406e-05,0.00010393474984008779
AD_0001_95,2.374236479954165e-05,0.0036281123975706376
AD_0001_105,1.1787914511490828e-05,0.0003336322567004612
AD_0001_115,8.854795884577949e-06,3.0584429506725966e-05
AD_0001_125,5.176282141280738e-06,1.186665488469403e-05
AD_0001_135,5.785967336221369e-06,5.0625348655623826e-05
AD_0001_145,3.354386428280878e-06,6.083721171220952e-06
AD_0001_155,1.8817492223508836e-06,3.4089593543909015e-06
AD_0001_165,1.48396146326538e-06,3.561775404620237e-06
AD_0001_175,1.4006526095826724e-06,6.828430500482616e-05
AD_0001_185,2.128888848570545e-06,0.0021751904509988377
AD_0001_195,1.3913878652070183e-06,3.6478625022996523e-06
AD_0001_205,1.4258775285340483e-06,3.882587602854262e-06
AD_0001_215,1.3588177289445948e-06,4.04019702479359e-06
AD_0001_300,1.361256387011669e-06,0.0011325560341424886
AD_0001_500,1.6427555016168897e-06,1.1503545844568743e-05
AD_0001_700,2.7136400676541325e-06,0.0010828885078536215
AD_0001_900,2.7009167151736346e-06,1.801698592003101e-05
AD_0005_25,2.8734540825012097e-05,0.0001232014361331631
AD_0005_35,4.830484128105415e-05,0.001062502779201684
AD_0005_45,3.8315357113959445e-05,0.000124850076545144
AD_0005_55,3.485046157848631e-05,0.00012753469324052277
AD_0005_65,3.281606798930158e-05,0.00013222298930763864
AD_0005_75,2.6621923331904405e-05,0.00041783930152758294
AD_0005_85,1.560369649103863e-05,0.0008400890114312387
AD_0005_95,1.5877836530271916e-05,0.04619689305284625
AD_0005_105,1.3751700203339567e-05,0.00241084082483795
AD_0005_115,1.066869845644986e-05,0.011067999174326684
AD_0005_125,8.083302157871117e-06,0.0016696322918518952
AD_0005_135,7.003553926407608e-06,0.0003811908503137127
AD_0005_145,7.110249695229217e-06,0.04518895227700777
AD_0005_155,5.32788747167027e-06,0.008861943510075472
AD_0005_165,5.576964471096394e-06,0.00047726728586651614
AD_0005_175,4.279481662465504e-06,0.007148129665126105
AD_0005_185,5.437024913352488e-06,0.002205857058866563
AD_0005_195,8.195778148074922e-06,0.0011042821464039173
AD_0005_205,6.457527830713313e-06,0.021122302867847977
AD_0005_215,5.833248575491137e-06,0.01584127182731572
AD_0005_300,3.088474806111422e-05,0.0019236928726192781
AD_0005_500,0.00018735845689027788,0.0024373459880557185
AD_0005_700,0.0003802382380309964,0.001018575166382718
AD_0005_900,0.000496731868109077,0.0010617290287857552
AD_001_25,2.2654673483053323e-05,0.00019707957479401126
AD_001_35,3.1659387749314044e-05,0.00015228192781000324
AD_001_45,3.5061710950815494e-05,0.00014274677561589244
AD_001_55,4.4847763021023907e-05,0.0017764866976433193
AD_001_65,2.9069375695192694e-05,0.00018797310942241248
AD_001_75,3.088932453078543e-05,0.008721345013097527
AD_001_85,2.9571600658247006e-05,0.005100890865940419
AD_001_95,2.3773163332731455e-05,0.0014961892709941802
AD_001_105,2.2285081163355694e-05,0.0030085961096115595
AD_001_115,2.033742479596885e-05,0.013585134203688919
AD_001_125,1.8545206554956376e-05,0.0021952490340899416
AD_001_135,2.8234654190158433e-05,0.002255367070655725
AD_001_145,2.4379582397898366e-05,0.008747542789536721
AD_001_155,4.2302715564927735e-05,0.0021508990576174
AD_001_165,3.996597562966762e-05,0.3685327115077467
