,MSE1,MSE2
DP_0_25,3.3008862040867115e-05,0.00017615145083407674
DP_0_35,7.63942991883762e-05,0.00023357997813379828
DP_0_45,8.981652189504257e-05,0.0002945240300862597
DP_0_55,0.00011050063539286892,0.00034031979256428813
DP_0_65,0.00010355390430904409,0.00031070822395660313
DP_0_75,9.734770479823136e-05,0.00027900309024637407
DP_0_85,6.756343363498727e-05,0.0002011752504673199
DP_0_95,3.965586720361513e-05,0.00011130991507262256
DP_0_105,2.29430811413405e-05,7.533004649732594e-05
DP_0_115,1.6454935287438123e-05,3.0512312916313434e-05
DP_0_125,8.12910827924333e-06,3.12235293488533e-05
DP_0_135,8.053470996782946e-06,1.7882010071338148e-05
DP_0_145,3.903331483648016e-06,7.328255346776432e-06
DP_0_155,1.9187127155702865e-06,3.758581966308642e-06
DP_0_165,1.553918081219008e-06,3.7128268611245835e-06
DP_0_175,1.3081840609531888e-06,3.5049656454638625e-06
DP_0_185,1.4021221473278293e-06,4.033112087312329e-06
DP_0_195,1.5020960029468798e-06,4.440693137504023e-06
DP_0_205,1.4999574907782206e-06,4.553768628534436e-06
DP_0_215,1.4863545421475035e-06,4.409534271308556e-06
DP_0_300,1.6646923066838895e-06,4.869472585017712e-06
DP_0_500,1.766674397424863e-06,5.237228376501853e-06
DP_0_700,1.8069662225320128e-06,5.273607996514908e-06
DP_0_900,1.7436669401322295e-06,5.199969900627225e-06
DP_0001_25,5.256490175860466e-05,0.0001840079736098402
DP_0001_35,0.00010017124207037785,0.00027194903267031064
DP_0001_45,0.00010573754582224063,0.000312392753880513
DP_0001_55,0.00011930564916216418,0.0006286776405686863
DP_0001_65,0.0001225094503778285,0.00030291065357863705
DP_0001_75,0.00011319715062035222,0.0002908571294703849
DP_0001_85,6.215044469062916e-05,0.00366934680751237
DP_0001_95,4.285743281339884e-05,0.00013889225225285353
DP_0001_105,3.118484898420203e-05,0.00046618609369281967
DP_0001_115,2.224149532462308e-05,0.00010636921415822514
DP_0001_125,1.4637044779760055e-05,0.0005961638180034194
DP_0001_135,1.2330917808581814e-05,2.6669444950272917e-05
DP_0001_145,8.697498757072479e-06,3.526985340124519e-05
DP_0001_155,5.561435611655729e-06,0.0001422864660978242
DP_0001_165,5.134692439603438e-06,0.0006961704045457313
DP_0001_175,4.70008381579757e-06,8.94218637199492e-06
DP_0001_185,4.02357109090201e-06,0.0002211625847927079
DP_0001_195,3.5896669120834496e-06,0.00017278507932500138
DP_0001_205,3.6003197131184507e-06,0.0006343575565400145
DP_0001_215,3.5666682061489975e-06,0.0005035254138812612
DP_0001_300,3.507989466708328e-06,0.00018942053926362045
DP_0001_500,5.7402037468959e-06,0.00043058205947029153
DP_0001_700,7.362289344465165e-06,0.002983256818379058
DP_0001_900,7.475203996882245e-06,0.002755793848902956
DP_0005_25,4.396976711194537e-05,0.00021917644320051873
DP_0005_35,0.00011299372903747334,0.00034531007073213145
DP_0005_45,0.00011470945573265131,0.0003954733143892518
DP_0005_55,0.0001147658346023322,0.0006696322320173176
DP_0005_65,0.00011900333379029029,0.0003948779130110652
DP_0005_75,9.450589446065502e-05,0.00046933463066716456
DP_0005_85,0.00012440744108412183,0.00044063690311551667
DP_0005_95,7.558420751093464e-05,0.011259273239616795
DP_0005_105,4.934849845606149e-05,0.0038538377253099056
DP_0005_115,4.665796568567194e-05,0.0023100600623117834
DP_0005_125,2.7550819869053702e-05,0.008987836993943768
DP_0005_135,2.8384349566285696e-05,0.0005968780525386063
DP_0005_145,1.9416165753535946e-05,0.0016053055138862246
DP_0005_155,1.635903573831882e-05,0.0044789312820390885
DP_0005_165,2.269017233547394e-05,0.0027286658792204333
DP_0005_175,1.7179775803554105e-05,0.004111525530253188
DP_0005_185,1.7018635013768997e-05,0.00242319638698322
DP_0005_195,1.5647561141351594e-05,0.0026326906882317975
DP_0005_205,1.530301898939621e-05,0.003721122947319389
DP_0005_215,1.8677461491096203e-05,0.0016018678393839518
DP_0005_300,4.665199121314416e-05,0.003139802163637438
DP_0005_500,0.00027011748985983927,0.0015326470999086823
DP_0005_700,0.00044118977616103684,0.0010082639582767274
DP_0005_900,0.0005306179483212225,0.0010428737181187777
DP_001_25,8.262678937365592e-05,0.0002791913955140646
DP_001_35,0.00010723985752848032,0.0004624198615404855
DP_001_45,0.000162447345316945,0.0005112482949508676
DP_001_55,0.00019736981466587686,0.0005286588328432823
DP_001_65,0.00018240678969584743,0.000633160400930928
DP_001_75,0.00015459661397293652,0.0007289086093622689
