,MSE1,MSE2
PD_0_25,3.3008862040867115e-05,0.00017615145083407674
PD_0_35,7.63942991883762e-05,0.00023357997813379828
PD_0_45,8.981652189504257e-05,0.0002945240300862597
PD_0_55,0.00011050063539286892,0.00034031979256428813
PD_0_65,0.00010355390430904409,0.00031070822395660313
PD_0_75,9.734770479823136e-05,0.00027900309024637407
PD_0_85,6.756343363498727e-05,0.0002011752504673199
PD_0_95,3.965586720361513e-05,0.00011130991507262256
PD_0_105,2.29430811413405e-05,7.533004649732594e-05
PD_0_115,1.6454935287438123e-05,3.0512312916313434e-05
PD_0_125,8.12910827924333e-06,3.12235293488533e-05
PD_0_135,8.053470996782946e-06,1.7882010071338148e-05
PD_0_145,3.903331483648016e-06,7.328255346776432e-06
PD_0_155,1.9187127155702865e-06,3.758581966308642e-06
PD_0_165,1.553918081219008e-06,3.7128268611245835e-06
PD_0_175,1.3081840609531888e-06,3.5049656454638625e-06
PD_0_185,1.4021221473278293e-06,4.033112087312329e-06
PD_0_195,1.5020960029468798e-06,4.440693137504023e-06
PD_0_205,1.4999574907782206e-06,4.553768628534436e-06
PD_0_215,1.4863545421475035e-06,4.409534271308556e-06
PD_0_300,1.6646923066838895e-06,4.869472585017712e-06
PD_0_500,1.766674397424863e-06,5.237228376501853e-06
PD_0_700,1.8069662225320128e-06,5.273607996514908e-06
PD_0_900,1.7436669401322295e-06,5.199969900627225e-06
PD_0001_25,7.158807618645479e-05,0.0002213310207371088
PD_0001_35,9.680260660830266e-05,0.00026122659479653693
PD_0001_45,0.00010434639218721,0.0003108782211033874
PD_0001_55,0.00010796659850216761,0.0003304872724320131
PD_0001_65,9.937569298415223e-05,0.00032169412124363425
PD_0001_75,9.295652609495743e-05,0.00027009075815221994
PD_0001_85,4.074923392403575e-05,0.00014836685458377675
PD_0001_95,6.152066465769849e-05,0.0001906445480172469
PD_0001_105,1.7931108593341725e-05,5.9825705981825595e-05
PD_0001_115,2.427450245266122e-05,5.998705821386342e-05
PD_0001_125,7.962434471801986e-06,3.559133300373827e-05
PD_0001_135,3.5434229772501462e-06,1.5048435605717076e-05
PD_0001_145,3.4440671109775502e-06,0.0013296435957290034
PD_0001_155,1.70737651220638e-06,1.3503628915372853e-05
PD_0001_165,1.849003402595622e-06,0.0001524860602458921
PD_0001_175,2.1167122485787488e-06,0.0005626736473190565
PD_0001_185,1.4559028437439566e-06,6.69072486050183e-05
PD_0001_195,1.3223250506067295e-06,3.741913193135861e-06
PD_0001_205,1.6383603621612762e-06,2.5620048594583007e-05
PD_0001_215,1.4137021319294532e-06,4.14912043742902e-06
PD_0001_300,1.8120919053110652e-06,0.0005413403134985652
PD_0001_500,1.5832916213627426e-06,0.0006030069883501741
PD_0001_700,1.3347240835985676e-06,0.0003013658763146207
PD_0001_900,1.316551478446725e-06,3.2731758169731627e-06
PD_0005_25,4.806468174790757e-05,0.00021517974242230025
PD_0005_35,8.130194530832303e-05,0.00030952387504388015
PD_0005_45,0.00010003057478817985,0.0003414316502701016
PD_0005_55,0.00013622936383365602,0.00039307353582290614
PD_0005_65,0.00010581380410340383,0.00030999806800788976
PD_0005_75,0.00010097690702452892,0.0003097756864227931
PD_0005_85,5.772379319097413e-05,0.0002550304521430724
PD_0005_95,5.2580654594107476e-05,0.0005072325487762741
PD_0005_105,3.478921468866785e-05,0.0001466563509555939
PD_0005_115,3.116968110987583e-05,0.00014785668958493728
PD_0005_125,1.9176604814426075e-05,0.0014709941148428776
PD_0005_135,9.019587458351337e-06,0.001876969991937371
PD_0005_145,2.95038498085172e-06,0.0008682320110524168
PD_0005_155,3.492596943191375e-06,0.00023186161023598165
PD_0005_165,2.5964691664030515e-06,0.0001675216767775205
PD_0005_175,2.194296175264326e-06,0.0036214247595027214
PD_0005_185,1.9197388464751005e-06,9.465248071414003e-06
PD_0005_195,2.067647187418487e-06,0.0015556192161198163
PD_0005_205,2.413570735767451e-06,0.00010992485962120988
PD_0005_215,2.2558103677769906e-06,3.506156960890298e-05
PD_0005_300,3.5701606031950984e-06,0.0005054292630339336
PD_0005_500,1.0466522409593306e-05,0.006102999751475688
PD_0005_700,6.0894038400567804e-05,0.0015051497293252043
PD_0005_900,0.0001561567488266503,0.002347336877204821
